,model,jac,jac_std_div,faith,faith_std_div
0,ours,0.11538461537573964,0.08158924397678707,7.599592208862305e-06,1.8333879102238902e-06
1,subgraphx,0.027777777776234566,0.019641855031868438,1.4007091522216797e-05,5.057621821307283e-07
2,gnnexplainer,0.0013333333332444443,0.0013266499160537169,1.341104507446289e-05,5.605530851948906e-06
3,pgeexp,0.0023809523808390022,0.0023690177072839044,9.357929229736328e-06,2.7395451532081117e-06
